VCD info: dumpfile soc_top_tb.vcd opened for output.
[TB] Applying System Reset Initialization...
Time=0ns | PC=0x00000000 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
[TB] System Reset Released.
[TEST STAGE 1] Monitoring Instruction Fetch and Register File Writes...
Time=110ns | PC=0x00000004 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=130ns | PC=0x00000008 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=150ns | PC=0x0000000c | ALU_Result=0x00003005 | APB_Sel=0 | RAM_Sel=1
Time=170ns | PC=0x00000010 | ALU_Result=0x000000ff | APB_Sel=1 | RAM_Sel=0
Time=190ns | PC=0x00000014 | ALU_Result=0x00003000 | APB_Sel=0 | RAM_Sel=1
Time=210ns | PC=0x00000018 | ALU_Result=0x00003000 | APB_Sel=1 | RAM_Sel=0
Time=230ns | PC=0x0000001c | ALU_Result=0x00000000 | APB_Sel=1 | RAM_Sel=0
Time=250ns | PC=0x00000020 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=270ns | PC=0x00000024 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=290ns | PC=0x00000028 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=310ns | PC=0x0000002c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=330ns | PC=0x00000030 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=350ns | PC=0x00000034 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=370ns | PC=0x00000038 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=390ns | PC=0x0000003c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=410ns | PC=0x00000040 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=430ns | PC=0x00000044 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
[SUCCESS] CPU Pipelining verified active. Current PC: 0x00000044
[TEST STAGE 2] Verifying Peripheral Memory Address Decoding...
[NOTE] No active peripheral transaction intercepted during this cycle window.
[TEST STAGE 3] Testing UART Serial Interface...
[UART RX] Injecting byte: 0xa5
Time=450ns | PC=0x00000048 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=470ns | PC=0x0000004c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=490ns | PC=0x00000050 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=510ns | PC=0x00000054 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=530ns | PC=0x00000058 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=550ns | PC=0x0000005c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=570ns | PC=0x00000060 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=590ns | PC=0x00000064 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=610ns | PC=0x00000068 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=630ns | PC=0x0000006c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=650ns | PC=0x00000070 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=670ns | PC=0x00000074 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=690ns | PC=0x00000078 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=710ns | PC=0x0000007c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=730ns | PC=0x00000080 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=750ns | PC=0x00000084 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=770ns | PC=0x00000088 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=790ns | PC=0x0000008c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=810ns | PC=0x00000090 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=830ns | PC=0x00000094 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=850ns | PC=0x00000098 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=870ns | PC=0x0000009c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=890ns | PC=0x000000a0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=910ns | PC=0x000000a4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=930ns | PC=0x000000a8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=950ns | PC=0x000000ac | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=970ns | PC=0x000000b0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=990ns | PC=0x000000b4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1010ns | PC=0x000000b8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1030ns | PC=0x000000bc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1050ns | PC=0x000000c0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1070ns | PC=0x000000c4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1090ns | PC=0x000000c8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1110ns | PC=0x000000cc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1130ns | PC=0x000000d0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1150ns | PC=0x000000d4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1170ns | PC=0x000000d8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1190ns | PC=0x000000dc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1210ns | PC=0x000000e0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1230ns | PC=0x000000e4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1250ns | PC=0x000000e8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1270ns | PC=0x000000ec | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1290ns | PC=0x000000f0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1310ns | PC=0x000000f4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1330ns | PC=0x000000f8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
