VCD info: dumpfile top.vcd opened for output.
Time	PC		Instr		ALU		RegWrite
t=0 PC=00000000 IADDR=00000000 IRDATA=000030b7 INSTR=000030b7
t=25000 PC=00000004 IADDR=00000004 IRDATA=00100113 INSTR=00100113
t=35000 PC=00000008 IADDR=00000008 IRDATA=0020a423 INSTR=0020a423
t=45000 PC=0000000c IADDR=0000000c IRDATA=00000013 INSTR=00000013
t=55000 PC=00000010 IADDR=00000010 IRDATA=00000013 INSTR=00000013
t=65000 PC=00000014 IADDR=00000014 IRDATA=00000013 INSTR=00000013
t=75000 PC=00000018 IADDR=00000018 IRDATA=00000013 INSTR=00000013
t=85000 PC=0000001c IADDR=0000001c IRDATA=00000013 INSTR=00000013
t=95000 PC=00000020 IADDR=00000020 IRDATA=00000013 INSTR=00000013
t=105000 PC=00000024 IADDR=00000024 IRDATA=00000013 INSTR=00000013
t=115000 PC=00000028 IADDR=00000028 IRDATA=00000013 INSTR=00000013
t=125000 PC=0000002c IADDR=0000002c IRDATA=00000013 INSTR=00000013
t=135000 PC=00000030 IADDR=00000030 IRDATA=00000013 INSTR=00000013
t=145000 PC=00000034 IADDR=00000034 IRDATA=00000013 INSTR=00000013
t=155000 PC=00000038 IADDR=00000038 IRDATA=00000013 INSTR=00000013
t=165000 PC=0000003c IADDR=0000003c IRDATA=00000013 INSTR=00000013
t=175000 PC=00000040 IADDR=00000040 IRDATA=00000013 INSTR=00000013
t=185000 PC=00000044 IADDR=00000044 IRDATA=00000013 INSTR=00000013
t=195000 PC=00000048 IADDR=00000048 IRDATA=00000013 INSTR=00000013
t=205000 PC=0000004c IADDR=0000004c IRDATA=00000013 INSTR=00000013
t=215000 PC=00000050 IADDR=00000050 IRDATA=00000013 INSTR=00000013
t=225000 PC=00000054 IADDR=00000054 IRDATA=00000013 INSTR=00000013
t=235000 PC=00000058 IADDR=00000058 IRDATA=00000013 INSTR=00000013
t=245000 PC=0000005c IADDR=0000005c IRDATA=00000013 INSTR=00000013
t=255000 PC=00000060 IADDR=00000060 IRDATA=00000013 INSTR=00000013
t=265000 PC=00000064 IADDR=00000064 IRDATA=00000013 INSTR=00000013
t=275000 PC=00000068 IADDR=00000068 IRDATA=00000013 INSTR=00000013
t=285000 PC=0000006c IADDR=0000006c IRDATA=00000013 INSTR=00000013
t=295000 PC=00000070 IADDR=00000070 IRDATA=00000013 INSTR=00000013
t=305000 PC=00000074 IADDR=00000074 IRDATA=00000013 INSTR=00000013
t=315000 PC=00000078 IADDR=00000078 IRDATA=00000013 INSTR=00000013
t=325000 PC=0000007c IADDR=0000007c IRDATA=00000013 INSTR=00000013
t=335000 PC=00000080 IADDR=00000080 IRDATA=00000013 INSTR=00000013
t=345000 PC=00000084 IADDR=00000084 IRDATA=00000013 INSTR=00000013
t=355000 PC=00000088 IADDR=00000088 IRDATA=00000013 INSTR=00000013
t=365000 PC=0000008c IADDR=0000008c IRDATA=00000013 INSTR=00000013
t=375000 PC=00000090 IADDR=00000090 IRDATA=00000013 INSTR=00000013
t=385000 PC=00000094 IADDR=00000094 IRDATA=00000013 INSTR=00000013
t=395000 PC=00000098 IADDR=00000098 IRDATA=00000013 INSTR=00000013
t=405000 PC=0000009c IADDR=0000009c IRDATA=00000013 INSTR=00000013
t=415000 PC=000000a0 IADDR=000000a0 IRDATA=00000013 INSTR=00000013
t=425000 PC=000000a4 IADDR=000000a4 IRDATA=00000013 INSTR=00000013
t=435000 PC=000000a8 IADDR=000000a8 IRDATA=00000013 INSTR=00000013
t=445000 PC=000000ac IADDR=000000ac IRDATA=00000013 INSTR=00000013
t=455000 PC=000000b0 IADDR=000000b0 IRDATA=00000013 INSTR=00000013
t=465000 PC=000000b4 IADDR=000000b4 IRDATA=00000013 INSTR=00000013
t=475000 PC=000000b8 IADDR=000000b8 IRDATA=00000013 INSTR=00000013
t=485000 PC=000000bc IADDR=000000bc IRDATA=00000013 INSTR=00000013
t=495000 PC=000000c0 IADDR=000000c0 IRDATA=00000013 INSTR=00000013
t=505000 PC=000000c4 IADDR=000000c4 IRDATA=00000013 INSTR=00000013
t=515000 PC=000000c8 IADDR=000000c8 IRDATA=00000013 INSTR=00000013
t=525000 PC=000000cc IADDR=000000cc IRDATA=00000013 INSTR=00000013
t=535000 PC=000000d0 IADDR=000000d0 IRDATA=00000013 INSTR=00000013
t=545000 PC=000000d4 IADDR=000000d4 IRDATA=00000013 INSTR=00000013
t=555000 PC=000000d8 IADDR=000000d8 IRDATA=00000013 INSTR=00000013
t=565000 PC=000000dc IADDR=000000dc IRDATA=00000013 INSTR=00000013
t=575000 PC=000000e0 IADDR=000000e0 IRDATA=00000013 INSTR=00000013
t=585000 PC=000000e4 IADDR=000000e4 IRDATA=00000013 INSTR=00000013
t=595000 PC=000000e8 IADDR=000000e8 IRDATA=00000013 INSTR=00000013
t=605000 PC=000000ec IADDR=000000ec IRDATA=00000013 INSTR=00000013
t=615000 PC=000000f0 IADDR=000000f0 IRDATA=00000013 INSTR=00000013
t=625000 PC=000000f4 IADDR=000000f4 IRDATA=00000013 INSTR=00000013
t=635000 PC=000000f8 IADDR=000000f8 IRDATA=00000013 INSTR=00000013
t=645000 PC=000000fc IADDR=000000fc IRDATA=00000013 INSTR=00000013
t=655000 PC=00000100 IADDR=00000100 IRDATA=00000013 INSTR=00000013
t=665000 PC=00000104 IADDR=00000104 IRDATA=00000013 INSTR=00000013
t=675000 PC=00000108 IADDR=00000108 IRDATA=00000013 INSTR=00000013
t=685000 PC=0000010c IADDR=0000010c IRDATA=00000013 INSTR=00000013
t=695000 PC=00000110 IADDR=00000110 IRDATA=00000013 INSTR=00000013
t=705000 PC=00000114 IADDR=00000114 IRDATA=00000013 INSTR=00000013
t=715000 PC=00000118 IADDR=00000118 IRDATA=00000013 INSTR=00000013
t=725000 PC=0000011c IADDR=0000011c IRDATA=00000013 INSTR=00000013
t=735000 PC=00000120 IADDR=00000120 IRDATA=00000013 INSTR=00000013
t=745000 PC=00000124 IADDR=00000124 IRDATA=00000013 INSTR=00000013
t=755000 PC=00000128 IADDR=00000128 IRDATA=00000013 INSTR=00000013
t=765000 PC=0000012c IADDR=0000012c IRDATA=00000013 INSTR=00000013
t=775000 PC=00000130 IADDR=00000130 IRDATA=00000013 INSTR=00000013
t=785000 PC=00000134 IADDR=00000134 IRDATA=00000013 INSTR=00000013
t=795000 PC=00000138 IADDR=00000138 IRDATA=00000013 INSTR=00000013
t=805000 PC=0000013c IADDR=0000013c IRDATA=00000013 INSTR=00000013
t=815000 PC=00000140 IADDR=00000140 IRDATA=00000013 INSTR=00000013
t=825000 PC=00000144 IADDR=00000144 IRDATA=00000013 INSTR=00000013
t=835000 PC=00000148 IADDR=00000148 IRDATA=00000013 INSTR=00000013
t=845000 PC=0000014c IADDR=0000014c IRDATA=00000013 INSTR=00000013
t=855000 PC=00000150 IADDR=00000150 IRDATA=00000013 INSTR=00000013
t=865000 PC=00000154 IADDR=00000154 IRDATA=00000013 INSTR=00000013
t=875000 PC=00000158 IADDR=00000158 IRDATA=00000013 INSTR=00000013
t=885000 PC=0000015c IADDR=0000015c IRDATA=00000013 INSTR=00000013
t=895000 PC=00000160 IADDR=00000160 IRDATA=00000013 INSTR=00000013
t=905000 PC=00000164 IADDR=00000164 IRDATA=00000013 INSTR=00000013
t=915000 PC=00000168 IADDR=00000168 IRDATA=00000013 INSTR=00000013
t=925000 PC=0000016c IADDR=0000016c IRDATA=00000013 INSTR=00000013
t=935000 PC=00000170 IADDR=00000170 IRDATA=00000013 INSTR=00000013
t=945000 PC=00000174 IADDR=00000174 IRDATA=00000013 INSTR=00000013
t=955000 PC=00000178 IADDR=00000178 IRDATA=00000013 INSTR=00000013
t=965000 PC=0000017c IADDR=0000017c IRDATA=00000013 INSTR=00000013
t=975000 PC=00000180 IADDR=00000180 IRDATA=00000013 INSTR=00000013
t=985000 PC=00000184 IADDR=00000184 IRDATA=00000013 INSTR=00000013
t=995000 PC=00000188 IADDR=00000188 IRDATA=00000013 INSTR=00000013
t=1005000 PC=0000018c IADDR=0000018c IRDATA=00000013 INSTR=00000013
t=1015000 PC=00000190 IADDR=00000190 IRDATA=00000013 INSTR=00000013
t=1025000 PC=00000194 IADDR=00000194 IRDATA=00000013 INSTR=00000013
t=1035000 PC=00000198 IADDR=00000198 IRDATA=00000013 INSTR=00000013
t=1045000 PC=0000019c IADDR=0000019c IRDATA=00000013 INSTR=00000013
t=1055000 PC=000001a0 IADDR=000001a0 IRDATA=00000013 INSTR=00000013
t=1065000 PC=000001a4 IADDR=000001a4 IRDATA=00000013 INSTR=00000013
t=1075000 PC=000001a8 IADDR=000001a8 IRDATA=00000013 INSTR=00000013
t=1085000 PC=000001ac IADDR=000001ac IRDATA=00000013 INSTR=00000013
t=1095000 PC=000001b0 IADDR=000001b0 IRDATA=00000013 INSTR=00000013
t=1105000 PC=000001b4 IADDR=000001b4 IRDATA=00000013 INSTR=00000013
t=1115000 PC=000001b8 IADDR=000001b8 IRDATA=00000013 INSTR=00000013
t=1125000 PC=000001bc IADDR=000001bc IRDATA=00000013 INSTR=00000013
t=1135000 PC=000001c0 IADDR=000001c0 IRDATA=00000013 INSTR=00000013
t=1145000 PC=000001c4 IADDR=000001c4 IRDATA=00000013 INSTR=00000013
t=1155000 PC=000001c8 IADDR=000001c8 IRDATA=00000013 INSTR=00000013
t=1165000 PC=000001cc IADDR=000001cc IRDATA=00000013 INSTR=00000013
t=1175000 PC=000001d0 IADDR=000001d0 IRDATA=00000013 INSTR=00000013
t=1185000 PC=000001d4 IADDR=000001d4 IRDATA=00000013 INSTR=00000013
t=1195000 PC=000001d8 IADDR=000001d8 IRDATA=00000013 INSTR=00000013
t=1205000 PC=000001dc IADDR=000001dc IRDATA=00000013 INSTR=00000013
t=1215000 PC=000001e0 IADDR=000001e0 IRDATA=00000013 INSTR=00000013
t=1225000 PC=000001e4 IADDR=000001e4 IRDATA=00000013 INSTR=00000013
t=1235000 PC=000001e8 IADDR=000001e8 IRDATA=00000013 INSTR=00000013
t=1245000 PC=000001ec IADDR=000001ec IRDATA=00000013 INSTR=00000013
t=1255000 PC=000001f0 IADDR=000001f0 IRDATA=00000013 INSTR=00000013
t=1265000 PC=000001f4 IADDR=000001f4 IRDATA=00000013 INSTR=00000013
t=1275000 PC=000001f8 IADDR=000001f8 IRDATA=00000013 INSTR=00000013
t=1285000 PC=000001fc IADDR=000001fc IRDATA=00000013 INSTR=00000013
t=1295000 PC=00000200 IADDR=00000200 IRDATA=00000013 INSTR=00000013
t=1305000 PC=00000204 IADDR=00000204 IRDATA=00000013 INSTR=00000013
t=1315000 PC=00000208 IADDR=00000208 IRDATA=00000013 INSTR=00000013
t=1325000 PC=0000020c IADDR=0000020c IRDATA=00000013 INSTR=00000013
t=1335000 PC=00000210 IADDR=00000210 IRDATA=00000013 INSTR=00000013
t=1345000 PC=00000214 IADDR=00000214 IRDATA=00000013 INSTR=00000013
t=1355000 PC=00000218 IADDR=00000218 IRDATA=00000013 INSTR=00000013
t=1365000 PC=0000021c IADDR=0000021c IRDATA=00000013 INSTR=00000013
t=1375000 PC=00000220 IADDR=00000220 IRDATA=00000013 INSTR=00000013
